"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of survivors","Number of Female","Number of Male","Number of Children","Cause of death","Location Description","Information Source","Location","Information Reliability","Migrant Route","URL","UNSD Geographical Grouping"
"35425","Central America","April 04, 2017","2017","Apr","1","","1","","","1","","Drowning","La Bocatoma, near Estación Sufragio, El Fuerte, Sinaloa, Mexico","Debate","26.071391300000, -108.784038100000","Partially verified","","http://bit.ly/2eH2wfD, http://bit.ly/2urIDgm","Central America"
"30900","US-Mexico Border","April 02, 2017","2017","Apr","1","","1","","","1","","Drowning","""El Patinadero"", Rio Bravo, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas","27.453141600000, -99.614852500000","Partially verified","","http://bit.ly/2osHDIW, https://www.facebook.com/NoticiasTelered/posts/1512755708757335","Central America"
"30901","Mediterranean","April 02, 2017","2017","Apr","1","","1","","","1","","Drowning","Body recovered near Panagiouda, Lesbos, Greece","Hellenic Coast Guard","39.147213500000, 26.528026000000","Partially verified","Eastern Mediterranean","http://bit.ly/2ot7TCX","Uncategorized"
"30899","Europe","April 01, 2017","2017","Apr","1","","1","","","1","1","Crushed, Vehicle Accident","Banbury, Oxfordshire, UK","BBC","52.064073000000, -1.373646700000","Partially verified","","http://bbc.in/2sMbRnT","Western Europe"
"30897","Mediterranean","March 29, 2017","2017","Mar","3","","3","","1","2","","Drowning","Off the coast of Sabratha, Libya","IOM Libya","32.791284000000, 12.415264900000","Verified","Central Mediterranean","","Uncategorized"
"30895","Mediterranean","March 28, 2017","2017","Mar","1","5","6","141","","","","Drowning","Off the coast of Sabratha, Libya","IOM Italy","32.791284000000, 12.415264900000","Verified","Central Mediterranean","","Uncategorized"
"30896","Mediterranean","March 28, 2017","2017","Mar","4","","4","85","","","","Drowning","Off the coast of Az Zawiyah, Libya","IOM Libya","32.781230600000, 12.696461100000","Verified","Central Mediterranean","","Uncategorized"
"30894","Middle East","March 27, 2017","2017","Mar","1","","1","","1","","","Drowning","River on border between Iraqi Kurdistan and Turkey","EASO Social Media Monitoring Report (23 to 30 March) - original FB post: http://bit.ly/2srxbPQ ","37.158533200000, 42.372409300000","Partially verified","","","Western Asia"
"30891","Mediterranean","March 26, 2017","2017","Mar","1","","1","","","","","Unknown","Unspecified location between North Africa and Italy","UNHCR","35.265509900000, 13.259102500000","Verified","Central Mediterranean","","Uncategorized"
"30892","Mediterranean","March 26, 2017","2017","Mar","1","","1","","1","","","Unknown","Unspecified location north of Libya","Al Jazeera","30.509284612352, 17.722392637500","Partially verified","Central Mediterranean","http://bit.ly/2omFNoT","Uncategorized"
"30893","Middle East","March 26, 2017","2017","Mar","3","","3","2","3","","","Drowning","River on border of Mergasur, Iraq and Turkey","Rudaw","36.972885200000, 44.265180600000","Partially verified","","http://bit.ly/2nEHVew, http://bit.ly/2opshAw","Western Asia"
"30888","Mediterranean","March 25, 2017","2017","Mar","1","","1","","1","","1","Drowning","Body recovered from the shores of Sabratha, Libya","IOM Libya","32.771957900000, 12.483225900000","Verified","Central Mediterranean","","Uncategorized"
"30889","US-Mexico Border","March 25, 2017","2017","Mar","1","","1","","","1","","Drowning","Rio Bravo, Reynosa, Tamaulipas, Mexico","La Prensa","26.052567600000, -98.366243400000","Partially verified","","http://bit.ly/2nPqzLI","Central America"
"30890","Middle East","March 25, 2017","2017","Mar","1","","1","","1","","1","Drowning","River on border between Iraqi Kurdistan and Turkey","EASO Social Media Monitoring Report (23 to 30 March) - original FB post: http://bit.ly/2qEHGic ","37.248156122630, 43.567378433594","Partially verified","","","Western Asia"
"30883","Mediterranean","March 24, 2017","2017","Mar","11","","11","9","2","","5","Drowning","Unspecified location off the coast of Davutlar, Aydin, Turkey, likely en route to Samos, Greece","IOM Turkey","37.747294000000, 27.240156300000","Verified","Eastern Mediterranean","http://bit.ly/2nE6F6G","Uncategorized"
"30884","Mediterranean","March 24, 2017","2017","Mar","3","1","4","3","","","","Presumed drowning","11 nautical miles south of Cádiz, Spain","Salvamento Marítimo","36.248835565283, -6.346569366992","Verified","Western Mediterranean","http://bit.ly/2f0gjhH, http://bit.ly/2oByxFt","Uncategorized"
"30885","Mediterranean","March 24, 2017","2017","Mar","1","","1","","","1","","Unknown","Unspecified location between North Africa and Italy","UNHCR","35.265509900000, 13.259102500000","Verified","Central Mediterranean","","Uncategorized"
"30886","Central America","March 24, 2017","2017","Mar","1","","1","","","","","Unknown","Near train tracks, Tlajomulco, Jalisco, Mexico","Notisistema","20.462834400000, -103.453062900000","Partially verified","","http://bit.ly/2otFRXh, http://bit.ly/2ox80wB","Central America"
"30887","US-Mexico Border","March 24, 2017","2017","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County (see spreadsheet for exact location)","Pima County Office of the Medical Examiner","31.875343400000, -112.547046600000","Verified","","","Northern America"
"30880","Mediterranean","March 23, 2017","2017","Mar","5","","5","","","5","","Hypothermia","Between Zuwara and Sabratha, Libya","IOM Italy","32.893867600000, 12.205049500000","Verified","Central Mediterranean","http://bit.ly/2o1Au1R","Uncategorized"
"30881","Mediterranean","March 23, 2017","2017","Mar","","130","130","","","","","Drowning","North of Sabratha, Libya","IOM Italy/UNHCR","32.815891800000, 12.398003600000","Verified","Central Mediterranean","","Uncategorized"
"30882","Central America","March 23, 2017","2017","Mar","1","","1","1","","1","","Shot","Train tracks in Huimanguillo, Tabasco, Mexico","El Heraldo","17.827772000000, -93.408720500000","Partially verified","","http://bit.ly/2nraZWm","Central America"
"30879","Mediterranean","March 22, 2017","2017","Mar","1","","1","","","","","Unknown","Unspecified location between North Africa and Italy","IOM Italy","35.265509900000, 13.259102500000","Verified","Central Mediterranean","","Uncategorized"
"30875","Europe","March 21, 2017","2017","Mar","1","","1","","","1","","Unknown","Mountain trail in France between Grimaldi, Ventimiglia, Italy and Menton, France","AFP","43.794087000000, 7.515889500000","Partially verified","","http://bit.ly/2mPzpVT","Western Europe"
"30876","US-Mexico Border","March 21, 2017","2017","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County (see spreadsheet for exact location)","Pima County Office of the Medical Examiner","31.725322100000, -112.005521300000","Verified","","","Northern America"
"30878","Mediterranean","March 21, 2017","2017","Mar","2","66","68","54","","2","","Drowning","Between Zuwara and Sabratha, Libya","IOM Libya","32.893867600000, 12.205049500000","Verified","Central Mediterranean","","Uncategorized"
"30872","Mediterranean","March 20, 2017","2017","Mar","10","","10","","1","9","","Burned","Unspecified location off the coast of Az Zawiyah, Libya","IOM Libya","32.785733400000, 12.703041200000","Verified","Central Mediterranean","","Uncategorized"
